URI	FACH	Type	PRÜFUNG	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN																					
ID	LABEL	TYPE		AI skos:exactMatch	AI skos:closeMatch SPLIT=,		A skos:editorialNote																					
https://w3id.org/schulfach/BW_000001	Alevitische Religionslehre	Schulfach	vorhanden			FEHLT																						
https://w3id.org/schulfach/BW_000002	Alltagskultur, Ernährung und Soziales (AES) - Wahlpflichtfach	Schulfach	vorhanden	Ernährung (KIM-Schulfach)		FEHLT	Sek I (ausser Gymnasium)																					
https://w3id.org/schulfach/BW_000003	Altkatholische Religionslehre	Schulfach	vorhanden			FEHLT																						
https://w3id.org/schulfach/BW_000004	Astronomie - Wahlfach in der Oberstufe	Schulfach	vorhanden	Astronomie (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000005	Aufbaukurs Informatik	Schulfach	vorhanden	Informatik (KIM-Schulfach)			Jahrgangsstufe 7																					
https://w3id.org/schulfach/BW_000006	Basiskurs Medienbildung	Schulfach	vorhanden	Medienbildung (KIM-Schulfach)			Jahrgangsstufe 5																					
https://w3id.org/schulfach/BW_000007	Bewegung, Spiel und Sport	Schulfach	vorhanden	Sport (KIM-Schulfach)			nur Primarstufe																					
https://w3id.org/schulfach/BW_000008	Bildende Kunst	Schulfach	vorhanden	Kunst (KIM-Schulfach)			Sek I, Sek II + Profilfach extra																					
https://w3id.org/schulfach/BW_000009	Biologie	Schulfach	vorhanden	Biologie (KIM-Schulfach)			Sek I, Sek II																					
https://w3id.org/schulfach/BW_000010	Biologie, Naturphänomene und Technik (BNT)	Schulfach	vorhanden	Biologie (KIM-Schulfach)		FEHLT	Jahrgangsstufe 5 und 6																					
https://w3id.org/schulfach/BW_000011	Chemie	Schulfach	vorhanden	Chemie (KIM-Schulfach)			Sek I, Sek II																					
https://w3id.org/schulfach/BW_000012	Chinesisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe	Schulfach	vorhanden	Chinesisch (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000013	Darstellende Geometrie - Wahlfach in der Oberstufe	Schulfach	vorhanden			FEHLT	Sek II																					
https://w3id.org/schulfach/BW_000014	Deutsch	Schulfach	vorhanden	Deutsch (KIM-Schulfach)																								
