URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN
ID	LABEL	TYPE SPLIT=,	I skos:topConceptOf	I 'von Bundesland'	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/HB_000000	Schulfächer (Bremen)	skos:ConceptScheme		HB				
https://w3id.org/schulfach/HB_000001	Ästhetik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Kunst (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/HB_000002	Bildungsplan fortgeführte Fremdsprachen	Schulfach,skos:Concept	Schulfächer (Bremen)	HB			FEHLT	Sek II - Englisch, Spanisch, Türkisch, Russisch, Französisch
https://w3id.org/schulfach/HB_000003	Biologie	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Biologie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000004	Biologie bilingual	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Biologie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000005	Chemie	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Chemie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000006	Chinesisch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Chinesisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000007	Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Darstellendes Spiel (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HB_000008	Deutsch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/HB_000009	Deutsch als Zweitsprache	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Deutsch als Zweitsprache (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/HB_000010	Englisch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Englisch (KIM-Schulfach)			Primarstufe, Sek I
https://w3id.org/schulfach/HB_000011	European Studies	Schulfach,skos:Concept	Schulfächer (Bremen)	HB			FEHLT	Jahrgangsstufe 8 und 9 Gymnasium
https://w3id.org/schulfach/HB_000012	Französisch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Französisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000013	Französisch und Spanisch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB		Französisch (KIM-Schulfach),Spanisch (KIM-Schulfach)		Oberschule
https://w3id.org/schulfach/HB_000014	Französisch/Spanisch 2. Fremdsprache	Schulfach,skos:Concept	Schulfächer (Bremen)	HB		Französisch (KIM-Schulfach),Spanisch (KIM-Schulfach)		nur Gymnasium Sek I
https://w3id.org/schulfach/HB_000015	Französisch/Spanisch 3. Fremdsprache	Schulfach,skos:Concept	Schulfächer (Bremen)	HB		Französisch (KIM-Schulfach),Spanisch (KIM-Schulfach)		nur Gymnasium Sek I
https://w3id.org/schulfach/HB_000016	Geographie	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Geografie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000017	Geschichte	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Geschichte (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000018	Geschichte bilingual	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Geschichte (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000019	Gesellschaft und Politik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB		Gesellschaftswissenschaften (KIM-Schulfach),Politik (KIM-Schulfach)		nur Oberschule Sek I
https://w3id.org/schulfach/HB_000020	Herkunftssprachen 	Schulfach,skos:Concept	Schulfächer (Bremen)	HB			FEHLT	Primarstufe
https://w3id.org/schulfach/HB_000021	Informatik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Informatik (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HB_000022	Kunst	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Kunst (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HB_000023	Latein	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Latein (KIM-Schulfach)			Oberschule, Sek II
https://w3id.org/schulfach/HB_000024	Latein 2. Fremdsprache	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Latein (KIM-Schulfach)			nur Gymnasium Sek I
https://w3id.org/schulfach/HB_000025	Latein 3. Fremdsprache	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Latein (KIM-Schulfach)			nur Gymnasium Sek I
https://w3id.org/schulfach/HB_000026	Mathematik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Mathematik (KIM-Schulfach)			
https://w3id.org/schulfach/HB_000027	Medienbildung	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Medienbildung (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/HB_000028	Musik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Musik (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HB_000029	Naturwissenschaften, Biologie, Chemie, Physik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB		Biologie (KIM-Schulfach),Chemie (KIM-Schulfach),Physik (KIM-Schulfach)		Sek I
https://w3id.org/schulfach/HB_000030	Pädagogik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB			FEHLT	Sek II
https://w3id.org/schulfach/HB_000031	Philosophie	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Philosophie (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HB_000032	Physik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Physik (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000033	Politik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Politik (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000034	Polnisch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Polnisch (KIM-Schulfach)			Sek I
https://w3id.org/schulfach/HB_000035	Psychologie	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Psychologie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000036	Religion	Schulfach,skos:Concept	Schulfächer (Bremen)	HB			FEHLT	ohne Konfession
https://w3id.org/schulfach/HB_000037	Russisch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Russisch (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HB_000038	Sachunterricht	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Sachunterricht (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/HB_000039	Soziologie	Schulfach,skos:Concept	Schulfächer (Bremen)	HB			FEHLT	Sek II
https://w3id.org/schulfach/HB_000040	Spanisch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Spanisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_000041	Sport	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Sport (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HB_000042	Türkisch	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Türkisch (KIM-Schulfach)			Sek I
https://w3id.org/schulfach/HB_000043	Welt-Umweltkunde, Geschichte, Geographie, Politik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB		Geschichte (KIM-Schulfach),Geografie (KIM-Schulfach),Politik (KIM-Schulfach)		Gymnasium Sek I
https://w3id.org/schulfach/HB_000044	Wirtschaft-Arbeit-Technik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Wirtschaftskunde (KIM-Schulfach)		FEHLT	Gymnasium
https://w3id.org/schulfach/HB_000045	Wirtschaft/Arbeit/Technik	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Wirtschaftskunde (KIM-Schulfach)		FEHLT	Oberschule
https://w3id.org/schulfach/HB_000046	Wirtschaftslehre	Schulfach,skos:Concept	Schulfächer (Bremen)	HB	Wirtschaftskunde (KIM-Schulfach)			Sek II
