URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN
ID	LABEL	TYPE SPLIT=,	I skos:topConceptOf	I 'von Bundesland'	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/HE_000000	Schulfächer (Hessen)	skos:ConceptScheme		HE				
https://w3id.org/schulfach/HE_000001	Alevitische Religion	Schulfach,skos:Concept	Schulfächer (Hessen)	HE			FEHLT	Sek I
https://w3id.org/schulfach/HE_000002	Arabisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE			FEHLT	Sek I nur Gymnasium und Realschule
https://w3id.org/schulfach/HE_000003	Arbeitslehre 	Schulfach,skos:Concept	Schulfächer (Hessen)	HE			FEHLT	Haupt- und Realschulen
https://w3id.org/schulfach/HE_000004	Biologie	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Biologie (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HE_000005	Chemie	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Chemie (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HE_000006	Chinesisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Chinesisch (KIM-Schulfach)			nur Gymnasium Sek I, Sek II
https://w3id.org/schulfach/HE_000007	Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Darstellendes Spiel (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000008	Deutsch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/HE_000009	Deutsche Gebärdensprache	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Deutsche Gebärdensprache (KIM-Schulfach)			Wahlfach
https://w3id.org/schulfach/HE_000010	Englisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Englisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000011	Erdkunde	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Geografie (KIM-Schulfach)			Sek I
https://w3id.org/schulfach/HE_000012	Ethik	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Ethik (KIM-Schulfach)			
https://w3id.org/schulfach/HE_000013	Evangelische Religion	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Religionslehre (evangelische) (KIM-Schulfach)			
https://w3id.org/schulfach/HE_000014	Französisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Französisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000015	Geographie	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Geografie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000016	Geschichte	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Geschichte (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HE_000017	Griechisch 	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Neugriechisch (KIM-Schulfach)			Sek I nur Gymnasium, Sek II
https://w3id.org/schulfach/HE_000018	Informatik	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Informatik (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000019	Informatik (Wahlunterricht im gymnasialen Bildungsgang)	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Informatik (KIM-Schulfach)			Sek I
https://w3id.org/schulfach/HE_000020	Islamische Religion 	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Religionslehre (islamisch) (KIM-Schulfach)			Primarstufe, Sek I
https://w3id.org/schulfach/HE_000021	Italienisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Italienisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000022	Jüdische Religion 	Schulfach,skos:Concept	Schulfächer (Hessen)	HE			FEHLT	
https://w3id.org/schulfach/HE_000023	Katholische Religion 	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Religionslehre (katholische) (KIM-Schulfach)			
https://w3id.org/schulfach/HE_000024	Kunst	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Kunst (KIM-Schulfach)			
https://w3id.org/schulfach/HE_000025	Latein	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Latein (KIM-Schulfach)			Sek I nur Gymnasium, Sek II
https://w3id.org/schulfach/HE_000026	Litauisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE			FEHLT	Sek II
https://w3id.org/schulfach/HE_000027	Mathematik	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Mathematik (KIM-Schulfach)			
https://w3id.org/schulfach/HE_000028	Moderne Fremdsprachen	Schulfach,skos:Concept	Schulfächer (Hessen)	HE			FEHLT	Primarstufe, Sek I - Englisch, Französisch, Italienisch, Russisch, Spanisch, Polnisch, Portugisisch
https://w3id.org/schulfach/HE_000029	Musik	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Musik (KIM-Schulfach)			
https://w3id.org/schulfach/HE_000030	Philosophie	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Philosophie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000031	Physik	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Physik (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HE_000032	Politik und Wirtschaft 	Schulfach,skos:Concept	Schulfächer (Hessen)	HE		Politik (KIM-Schulfach),Wirtschaftskunde (KIM-Schulfach)		Sek I, Sek II
https://w3id.org/schulfach/HE_000033	Polnisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Polnisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000034	Russisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Russisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000035	Sachunterricht	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Sachunterricht (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/HE_000036	Spanisch	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Spanisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HE_000037	Sport	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Sport (KIM-Schulfach)			
https://w3id.org/schulfach/HE_000038	Wirtschaftswissenschaften	Schulfach,skos:Concept	Schulfächer (Hessen)	HE	Wirtschaftskunde (KIM-Schulfach)			Sek II
