URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	FEHLT	NOTIZEN
ID	AL rdfs:label@de	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/BB_0000000	Schulfächer (Brandenburg)	skos:ConceptScheme		Brandenburg				
https://w3id.org/schulfach/BB_0000001	Altgriechisch	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Alt-Griechisch (KIM-Schulfach)			
https://w3id.org/schulfach/BB_0000002	Astronomie	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Astronomie (KIM-Schulfach)			nicht Sek II
https://w3id.org/schulfach/BB_0000003	Biologie	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Biologie (KIM-Schulfach)			
https://w3id.org/schulfach/BB_0000004	Chemie	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Chemie (KIM-Schulfach)			
https://w3id.org/schulfach/BB_0000005	Chinesisch	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Chinesisch (KIM-Schulfach)			1-10
https://w3id.org/schulfach/BB_0000006	Deutsch	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/BB_0000007	Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Darstellendes Spiel (KIM-Schulfach)			nur Sek II
https://w3id.org/schulfach/BB_0000008	Deutsche Gebärdensprache	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Deutsche Gebärdensprache (KIM-Schulfach)			nicht Sek II
https://w3id.org/schulfach/BB_0000009	Englisch	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Englisch (KIM-Schulfach)			
https://w3id.org/schulfach/BB_0000010	Französisch	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Französisch (KIM-Schulfach)			
https://w3id.org/schulfach/BB_0000011	Geografie	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Geografie (KIM-Schulfach)			7-10, Sek II
https://w3id.org/schulfach/BB_0000012	Geschichte	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Geschichte (KIM-Schulfach)			7-10, Sek II
https://w3id.org/schulfach/BB_0000013	Gesellschaftswissenschaften	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Gesellschaftswissenschaften (KIM-Schulfach)			nur Jahrgangsstufe 5 & 6
https://w3id.org/schulfach/BB_0000014	Hebräisch	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Hebräisch (KIM-Schulfach)			Jahrgangsstufe 1-10
https://w3id.org/schulfach/BB_0000015	Informatik	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Informatik (KIM-Schulfach)			Wahlpflichtfach, Sek II
https://w3id.org/schulfach/BB_0000016	Italienisch	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Italienisch (KIM-Schulfach)			Jahrgangsstufen 1-10
https://w3id.org/schulfach/BB_0000017	Japanisch	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Japanisch (KIM-Schulfach)			Jahrgangsstufen 1-10
https://w3id.org/schulfach/BB_0000018	Kunst	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Kunst (KIM-Schulfach)			Jahrgangsstufen 1-10
https://w3id.org/schulfach/BB_0000019	Latein	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Latein (KIM-Schulfach)			5-10, Sek II
https://w3id.org/schulfach/BB_0000020	Lebensgestaltung-Ethik-Religion	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Ethik (KIM-Schulfach)		FEHLT	Jahrgangsstufe 5-10
https://w3id.org/schulfach/BB_0000021	Mathematik	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Mathematik (KIM-Schulfach)			
https://w3id.org/schulfach/BB_0000022	Musik	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg	Musik (KIM-Schulfach)			
https://w3id.org/schulfach/BB_0000023	Naturwissenschaften (5-6)	Schulfach,skos:Concept	Schulfächer (Brandenburg)	Brandenburg			FEHLT	Jahrgangsstufe 5 & 6
