URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	FEHLT	NOTIZEN
ID	AL rdfs:label@de	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/BE_0000000	Schulfächer (Berlin)	skos:ConceptScheme		Berlin				
https://w3id.org/schulfach/BE_0000001	Altgriechisch	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Alt-Griechisch (KIM-Schulfach)			
https://w3id.org/schulfach/BE_0000002	Astronomie	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Astronomie (KIM-Schulfach)			nicht Sek II
https://w3id.org/schulfach/BE_0000003	Biologie	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Biologie (KIM-Schulfach)			
https://w3id.org/schulfach/BE_0000004	Chemie	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Chemie (KIM-Schulfach)			
https://w3id.org/schulfach/BE_0000005	Chinesisch	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Chinesisch (KIM-Schulfach)			1-10, Sek II
https://w3id.org/schulfach/BE_0000006	Deutsch	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/BE_0000007	Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Darstellendes Spiel (KIM-Schulfach)			nur Sek II
https://w3id.org/schulfach/BE_0000008	Deutsche Gebärdensprache	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Deutsche Gebärdensprache (KIM-Schulfach)			nicht Sek II
https://w3id.org/schulfach/BE_0000009	Englisch	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Englisch (KIM-Schulfach)			
https://w3id.org/schulfach/BE_0000010	Französisch	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Französisch (KIM-Schulfach)			
https://w3id.org/schulfach/BE_0000011	Geografie	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Geografie (KIM-Schulfach)			7-10, Sek II
https://w3id.org/schulfach/BE_0000012	Geschichte	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Geschichte (KIM-Schulfach)			7-10, Sek II
https://w3id.org/schulfach/BE_0000013	Gesellschaftswissenschaften	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Gesellschaftswissenschaften (KIM-Schulfach)			nur Jahrgangsstufe 5 & 6
https://w3id.org/schulfach/BE_0000014	Hebräisch	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Hebräisch (KIM-Schulfach)			1-10, Sek II
https://w3id.org/schulfach/BE_0000015	Informatik	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Informatik (KIM-Schulfach)			Wahlpflichtfach, Sek II
https://w3id.org/schulfach/BE_0000016	Italienisch	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Italienisch (KIM-Schulfach)			1-10, Sek II
https://w3id.org/schulfach/BE_0000017	Japanisch	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Japanisch (KIM-Schulfach)			1-10, Sek II
https://w3id.org/schulfach/BE_0000018	Kunst	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Kunst (KIM-Schulfach)			1-10
https://w3id.org/schulfach/BE_0000019	Latein	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Latein (KIM-Schulfach)			5-10, Sek II
https://w3id.org/schulfach/BE_0000020	Mathematik	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Mathematik (KIM-Schulfach)			
https://w3id.org/schulfach/BE_0000021	Musik	Schulfach,skos:Concept	Schulfächer (Berlin)	Berlin	Musik (KIM-Schulfach)			
