URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	FEHLT	NOTIZEN
ID	AL rdfs:label@de	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/BY_0000000	Schulfächer (Bayern)	skos:ConceptScheme		Bayern				
https://w3id.org/schulfach/BY_0000001	Deutsch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/BY_0000002	Deutsch als Zweitsprache	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Deutsch als Zweitsprache (KIM-Schulfach)			Grundschule, Mittelschule
https://w3id.org/schulfach/BY_0000003	Englisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Englisch (KIM-Schulfach)			
https://w3id.org/schulfach/BY_0000004	Ethik	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Ethik (KIM-Schulfach)			
https://w3id.org/schulfach/BY_0000005	Evangelische Religionslehre	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Religionslehre (evangelische) (KIM-Schulfach)			
https://w3id.org/schulfach/BY_0000006	Heimat- und Sachunterricht	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Sachunterricht (KIM-Schulfach)			Grundschule, Förderschule
https://w3id.org/schulfach/BY_0000007	Islamischer Unterricht	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Religionslehre (islamisch) (KIM-Schulfach)			Grundschule, Mittelschule, Realschule, Gymnasium
https://w3id.org/schulfach/BY_0000008	Katholische Religionslehre	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Religionslehre (katholische) (KIM-Schulfach)			
https://w3id.org/schulfach/BY_0000009	Kunst	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Kunst (KIM-Schulfach)			Grundschule, Mittelschule, Realschule, Gymnasium, Fachoberschule, Berufsoberschule
https://w3id.org/schulfach/BY_0000010	Mathematik	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Mathematik (KIM-Schulfach)			
https://w3id.org/schulfach/BY_0000011	Musik	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Musik (KIM-Schulfach)			Grundschule, Mittelschule, Realschule, Gymnasium, Fachoberschule, Berufsoberschule
https://w3id.org/schulfach/BY_0000012	Orthodoxe Religionslehre	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Grundschule, Mittelschule, Realschule, Gymnasium
https://w3id.org/schulfach/BY_0000013	Sport	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Sport (KIM-Schulfach)			
https://w3id.org/schulfach/BY_0000014	Werken und Gestalten	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Grundschule, Mittelschule, Förderschule
https://w3id.org/schulfach/BY_0000015	Buchführung	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Mittelschule, Förderschule
https://w3id.org/schulfach/BY_0000016	Ernährung und Soziales	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Ernährung (KIM-Schulfach)		FEHLT	Mittelschule, Förderschule
