URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN
ID	AL rdfs:label@de	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/HB_0000000	Schulfächer (Bremen)	skos:ConceptScheme		Bremen				
https://w3id.org/schulfach/HB_0000001	Ästhetik	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Kunst (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/HB_0000002	Bildungsplan fortgeführte Fremdsprachen	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen			FEHLT	Sek II - Englisch, Spanisch, Türkisch, Russisch, Französisch
https://w3id.org/schulfach/HB_0000003	Biologie	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Biologie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_0000004	Biologie bilingual	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Biologie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_0000005	Chemie	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Chemie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_0000006	Chinesisch	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Chinesisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_0000007	Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Darstellendes Spiel (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HB_0000008	Deutsch	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/HB_0000009	Deutsch als Zweitsprache	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Deutsch als Zweitsprache (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/HB_0000010	Englisch	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Englisch (KIM-Schulfach)			Primarstufe, Sek I
https://w3id.org/schulfach/HB_0000011	European Studies	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen			FEHLT	Jahrgangsstufe 8 und 9 Gymnasium
https://w3id.org/schulfach/HB_0000012	Französisch	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Französisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_0000013	Französisch und Spanisch	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen		Französisch (KIM-Schulfach),Spanisch (KIM-Schulfach)		Oberschule
https://w3id.org/schulfach/HB_0000014	Französisch/Spanisch 2. Fremdsprache	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen		Französisch (KIM-Schulfach),Spanisch (KIM-Schulfach)		nur Gymnasium Sek I
https://w3id.org/schulfach/HB_0000015	Französisch/Spanisch 3. Fremdsprache	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen		Französisch (KIM-Schulfach),Spanisch (KIM-Schulfach)		nur Gymnasium Sek I
https://w3id.org/schulfach/HB_0000016	Geographie	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Geografie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_0000017	Geschichte	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Geschichte (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HB_0000018	Geschichte bilingual	Schulfach,skos:Concept	Schulfächer (Bremen)	Bremen	Geschichte (KIM-Schulfach)			Sek II
