URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN
ID	LABEL	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/MV_0000000	Schulfächer (Mecklenburg-Vorpommern)	skos:ConceptScheme		Mecklenburg-Vorpommern				
https://w3id.org/schulfach/MV_0000001	Astronomie	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Astronomie (KIM-Schulfach)			nur Jahrgangsstufe 9
https://w3id.org/schulfach/MV_0000002	AWT	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Wirtschaftskunde (KIM-Schulfach)		FEHLT	Sek I ab Jahrgangsstufe 7
https://w3id.org/schulfach/MV_0000003	Berufliche Orientierung	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern			FEHLT	nur Jahrgangsstufe 11
https://w3id.org/schulfach/MV_0000004	Biologie	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Biologie (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/MV_0000005	Chemie	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Chemie (KIM-Schulfach)			Sek I ab Jahrgangsstufe 8, Sek II
https://w3id.org/schulfach/MV_0000006	Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Darstellendes Spiel (KIM-Schulfach)			Primarstufe, Sek I
https://w3id.org/schulfach/MV_0000007	Deutsch	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/MV_0000008	Deutsch als Zweitsprache	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Deutsch als Zweitsprache (KIM-Schulfach)			
https://w3id.org/schulfach/MV_0000009	Deutsche Gebärdensprache	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Deutsche Gebärdensprache (KIM-Schulfach)			
https://w3id.org/schulfach/MV_0000010	Englisch	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Englisch (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/MV_0000011	Evangelische Religion	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Religionslehre (evangelische) (KIM-Schulfach)			
