URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN
ID	LABEL	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/NW_0000000	Schulfächer (Nordrhein-Westfalen)	skos:ConceptScheme		Nordrhein-Westfalen				
https://w3id.org/schulfach/NW_0000001	Alevitischer Religionsunterricht	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen			FEHLT	Primarstufe, Sek I
https://w3id.org/schulfach/NW_0000002	Arbeitslehre	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen			FEHLT	Hauptschule, Gesamtschule
https://w3id.org/schulfach/NW_0000003	Biologie	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Biologie (KIM-Schulfach)			Realschule, Gymnasium, Sek II
https://w3id.org/schulfach/NW_0000004	Chemie	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Chemie (KIM-Schulfach)			Realschule, Gymnasium, Sek II
https://w3id.org/schulfach/NW_0000005	Chinesisch	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Chinesisch (KIM-Schulfach)			Gesamtschule, Realschule, Gymnasium, Sek II
https://w3id.org/schulfach/NW_0000006	Deutsch	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/NW_0000007	Deutsche Gebärdensprache	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Deutsche Gebärdensprache (KIM-Schulfach)			Förderschulen, Schwerpunktschulen, PS, SI
https://w3id.org/schulfach/NW_0000008	Englisch	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Englisch (KIM-Schulfach)			
https://w3id.org/schulfach/NW_0000009	Erdkunde	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Geografie (KIM-Schulfach)			Realschule, Gymnasium
https://w3id.org/schulfach/NW_0000010	Ernährungslehre	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Ernährung (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/NW_0000011	Erziehungswissenschaft	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Erziehungswissenschaften (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/NW_0000012	Evangelische Religionslehre 	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Religionslehre (evangelische) (KIM-Schulfach)			
https://w3id.org/schulfach/NW_0000013	Französisch	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Französisch (KIM-Schulfach)			Gesamtschule, Realschule, Gymnasium, Sek II
https://w3id.org/schulfach/NW_0000014	Geographie	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Geografie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/NW_0000015	Geschichte	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Geschichte (KIM-Schulfach)			Realschule, Gymnasium, Sek II
https://w3id.org/schulfach/NW_0000016	Gesellschaftslehre (Erkunde, Geschichte, Politik)	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen		Gesellschaftswissenschaften (KIM-Schulfach),Geografie (KIM-Schulfach),Geschichte (KIM-Schulfach),Politik (KIM-Schulfach)		Hauptschule
https://w3id.org/schulfach/NW_0000017	Gesellschaftslehre (Wirtschaft-Politik, Erdkunde, Geschichte)	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen		Gesellschaftswissenschaften (KIM-Schulfach),Geografie (KIM-Schulfach),Geschichte (KIM-Schulfach),Politik (KIM-Schulfach),Wirtschaftskunde (KIM-Schulfach)		Gesamtschule
https://w3id.org/schulfach/NW_0000018	Griechisch	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Neugriechisch (KIM-Schulfach)			Gymnasium Sek I, Sek II
https://w3id.org/schulfach/NW_0000019	Hauswirtschaft	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen			FEHLT	Gesamtschule
https://w3id.org/schulfach/NW_0000020	Hebräisch	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Hebräisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/NW_0000021	Informatik	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Informatik (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/NW_0000022	Islamischer Religionsunterricht	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Religionslehre (islamisch) (KIM-Schulfach)			
https://w3id.org/schulfach/NW_0000023	Italienisch	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Italienisch (KIM-Schulfach)			Gesamtschule, Realschule, Gymnasium, Sek II
https://w3id.org/schulfach/NW_0000024	Japanisch	Schulfach,skos:Concept	Schulfächer (Nordrhein-Westfalen)	Nordrhein-Westfalen	Japanisch (KIM-Schulfach)			Gesamtschule, Realschule, Gymnasium, Sek II
