URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN
ID	AL rdfs:label@de	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/SH_0000000	Schulfächer (Schleswig-Holstein)	skos:ConceptScheme		Schleswig-Holstein				
https://w3id.org/schulfach/SH_0000001	Biologie	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Biologie (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000002	Chemie	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Chemie (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000003	Chinesisch	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Chinesisch (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000004	Dänisch	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein			FEHLT	Sek I, Sek II
https://w3id.org/schulfach/SH_0000005	Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Darstellendes Spiel (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000006	Deutsch	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/SH_0000007	Englisch	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Englisch (KIM-Schulfach)			
https://w3id.org/schulfach/SH_0000008	Evangelische Religion	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Religionslehre (evangelische) (KIM-Schulfach)			
https://w3id.org/schulfach/SH_0000009	Französisch	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Französisch (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000010	Friesisch	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein			FEHLT	Primarstufe
https://w3id.org/schulfach/SH_0000011	Geographie	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Geografie (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000012	Geschichte	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Geschichte (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000013	Gestalten	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein			FEHLT	Sek I
https://w3id.org/schulfach/SH_0000014	Griechisch	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Neugriechisch (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000015	Informatik	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Informatik (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000016	Islamunterricht	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Religionslehre (islamisch) (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/SH_0000017	Italienisch	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Italienisch (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/SH_0000018	Katholische Religion	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Religionslehre (katholische) (KIM-Schulfach)			
https://w3id.org/schulfach/SH_0000019	Kunst	Schulfach,skos:Concept	Schulfächer (Schleswig-Holstein)	Schleswig-Holstein	Kunst (KIM-Schulfach)			
