URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	FEHLT	NOTIZEN
ID	AL rdfs:label@de	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I skos:closeMatch SPLIT=,		A skos:editorialNote
https://w3id.org/schulfach/SN_0000000	Schulfächer (Sachsen)	skos:ConceptScheme		Sachsen				
https://w3id.org/schulfach/SN_0000001	Deutsch	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Deutsch (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000002	Deutsch als Zweitsprache	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Deutsch als Zweitsprache (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000003	Englisch	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Englisch (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000004	Ethik	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Ethik (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000005	Evangelische Religion	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Religionslehre (evangelische) (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000006	Herkunftssprache im Wahlbereich	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen			FEHLT	Primarstufe, Sek I
https://w3id.org/schulfach/SN_0000007	Intensives Sprachlernen	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen			FEHLT	Primarstufe
https://w3id.org/schulfach/SN_0000008	Intensives Sprachlernen Sorbisch als Fremdsprache	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Sorbisch (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/SN_0000009	Jüdische Religion	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen			FEHLT	
https://w3id.org/schulfach/SN_0000010	Katholische Religion	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Religionslehre (katholische) (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000011	Kunst	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Kunst (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000012	Mathematik	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Mathematik (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000013	Musik	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Musik (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000014	Sachunterricht	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Sachunterricht (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/SN_0000015	Sorbisch	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Sorbisch (KIM-Schulfach)			
https://w3id.org/schulfach/SN_0000016	Sport	Schulfach,skos:Concept	Schulfächer (Sachsen)	Sachsen	Sport (KIM-Schulfach)			
